old_serial_numbers,product_name,unit_price,company_profit,unit,product_category,the_cost,retail_price,product_profit,product_description,storage,product_color,various_elements,length,extra_freight,lead_time,raw_material,minimum_order_quantity,supplier,supplier_contact_person,supplier_phone_number,supplier_fax_number,supplier_cell_phone,supplier_address,supplier_email,remark,supplier_bank_information,product_website
A003011,8吋YKK隱形拉鍊，多色可選(車縫處需要是直線)約20.3公分,19.44333,0.6,條,A003,11.666,15,,自行塞棉花用,,多色,8吋,約20.3公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003012,12吋YKK隱形拉鍊，多色可選(車縫處需要是直線)約30.5公分,23.611,0.6,條,A003,14.1666,17,,自行塞枕心用,,多色,12吋,約30.5公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003013,14吋YKK隱形拉鍊，多色可選(車縫處需要是直線)約35.55公分,27.77667,0.6,條,A003,16.666,0,,,,多色,14吋,約35.55公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003014,16吋YKK隱形拉鍊，多色可選(車縫處需要是直線)約40.65公分,29.16667,0.6,條,A003,17.5,20,,,,多色,16吋,約40.65公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003015,18吋YKK隱形拉鍊，多色可選(車縫處需要是直線)約45.7公分,31.94433,0.6,條,A003,19.1666,0,,,,多色,18吋,約45.7公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003016,24吋YKK隱形拉鍊，多色可選(車縫處需要是直線)約60.9公分,35.08684,0.76,條,A003,26.666,35,,,,多色,24吋,約60.9公分,120,3-5天,尼龍,1打12條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003017,8吋金屬拉鍊(燈泡頭，3號金銅齒，黑色)約20.3公分,15,0.6,條,A003,9,0,,需等1個月,,黑布金齒,8吋,約20.3公分,120,3-4星期,銅,500條,展華拉鍊股份有限公司,陳佳哲先生,02-26836175,02-26811723,0922-399-486,新北市樹林區豐林街41之2號,sut.zip@msa.hinet.net,付現,,
A003018,9吋金屬拉鍊(燈泡頭，3號金銅齒，黑色)約23公分,16.66667,0.6,條,A003,10,0,,需等1個月,,黑布金齒,9吋,約22.8公分,120,3-4星期,銅,500條,展華拉鍊股份有限公司,陳佳哲先生,02-26836175,02-26811723,0922-399-486,新北市樹林區豐林街41之2號,sut.zip@msa.hinet.net,付現,,
A003019,8吋YKK金屬拉鍊(燈泡頭，5號金齒，多色可選)約20.3公分,38.33333,0.6,條,A003,23,0,,需等1個月,,彩布金齒,8吋,約25.35公分,120,3-4星期,銅,一次一色50條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003020,9吋YKK金屬拉鍊(燈泡頭，5號金齒，多色可選)約23公分,40,0.6,條,A003,24,0,,需等1個月,,彩布金齒,9吋,約25.35公分,120,3-4星期,銅,一次一色50條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003021,8吋YKK金屬拉鍊(燈泡頭，5號銀齒，多色可選)約20.3公分,33.33333,0.6,條,A003,20,0,,需等1個月,,彩布霧銀齒,8吋,約25.35公分,120,3-4星期,銅,一次一色50條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003022,9吋YKK金屬拉鍊(燈泡頭，5號銀齒，多色可選)約25.35公分,35,0.6,條,A003,21,0,,需等1個月,,彩布霧銀齒,9吋,約25.35公分,120,3-4星期,銅,一次一色50條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003023,10吋YKK金屬拉鍊(燈泡頭，5號銀齒，多色可選)約25.5公分,58.33333,0.6,條,A003,35,0,,需等1個月,,彩布金銀齒,10吋,約25.35公分,120,3-4星期,銅,一次一色50條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003024,10吋YKK塑鋼拉鍊(拉環頭，5號齒，多色可選)約25.5公分,25,0.6,條,A003,15,0,,需等1個月,,多色,10吋,約25.35公分,120,3-4星期,銅,一次一色50條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003029,12吋YKK塑鋼拉鍊(拉環頭，5號齒，多色可選)約30.5公分,30,0.6,條,A003,18,0,,需等1個月,,多色,12吋,約25.35公分,120,3-4星期,銅,一次一色50條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003030,16吋YKK塑鋼拉鍊(拉環頭，5號齒，多色可選)約45.7公分,33.33333,0.6,條,A003,20,0,,需等1個月,,多色,12吋,約25.35公分,120,3-4星期,銅,一次一色50條,亞泰服裝材料有限公司,夏維琳小姐,02-25584204,02-25565664,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003025,8吋YKK塑鋼拉鍊(燈泡頭，3號齒，約20.3公分),20,0.6,條,A003,12,0,,需等1個月3V-DAMSL2自動鎖,,,8吋,約20.3公分,120,3-4星期,塑鋼,750條,亞泰服裝材料有限公司,夏維琳小姐,02-25584205,02-25565665,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003026,6吋YKK塑鋼拉鍊(燈泡頭，3號齒，約15.3公分)3VFN,21.66667,0.6,條,A003,13,0,,需等1個月,,,8吋,約20.3公分,120,3-4星期,塑鋼,一次一色50條,亞泰服裝材料有限公司,夏維琳小姐,02-25584205,02-25565665,,台北市南京西路167巷19號,yataizip@hotmail.com,月結,,
A003028,10吋普通塑鋼拉鍊(圓圈頭，5號齒，黑色可選)約25.5公分,11.11667,0.6,條,A003,6.67,0,,需等1個月,,多色,10吋,約25.35公分,120,3-4星期,銅,一次一色200條,大順拉鍊,,,,,,,,,
A005001,不需要配件,0,0.6,無,A005,0,0,,,,,,,,,,,,,,,,,,,,A005001
A005002,客戶提供配件,0,0.6,無,A005,0,0,,,,,,,,,,,,,,,,,,,,A005002
A005003,SA000-玉米棒(有鈴鐺),2.833333,0.6,條,A005,1.7,,,,,多色,,約9公分,,20-30天,尼龍,一次5000條,大陸,shelly,2.86E+13,,,,,,,
A005004,SA000-玉米棒(無鈴鐺),2.166667,0.6,條,A005,1.3,,,,,多色,,約9公分,,20-30天,尼龍,一次5000條,大陸,shelly,2.86E+13,,,,,,,
A005005,SC000-簡單手機繩(有鈴鐺),1.833333,0.6,條,A005,1.1,,,,,黑，粉，藍，紫,,約6.5公分,,20-30天,尼龍,一次5000條,大陸,shelly,2.86E+13,,,,,,,
A005006,SC000-簡單手機繩(無鈴鐺),1.333333,0.6,條,A005,0.8,,,,,黑，粉，藍，紫,,約6.5公分,,20-30天,尼龍,一次5000條,大陸,shelly,2.86E+13,,,,,,,
A007001,無配件,0,0.6,無,A007,0.00,0,,,,,,,,,,,,,,,,,,,,A007001
A007002,客戶提供配件,0,0.6,無,A007,0.00,0,,,,,,,,,,,,,,,,,,,,A007002
A007003,5M-平鑽-圓多角兩孔,0.128333,0.6,顆,A007,0.08,0,,,,透明,,,150,14-30天,塑膠,5MM圓平角雙孔,瑞立塑膠企業社,曾小姐,02-82872521,02-82873940,,新北市三重區溪尾街218巷37之2號,,www.juili.tw,華南銀行西三重分行，戶名:瑞立塑膠企業社，帳號:170-10-001776-0,A007003
A007004,16MMM圓珠大洞7MM-金色.銀色,2.24359,0.6,顆,A007,1.35,0,,,,金色，銀色,,,150,14-30天,,BD51642-圓珠大洞16MM(7MM洞)130顆175元,承薪企業有限公司,章碧霜小姐,02-22222300,02-22252030,,新北市中和區健康路103號,,,,A007004
A007005,方形角珠1.8cm,2.5,0.6,顆,A007,1.50,0,,,,,,,150,14-30天,,,承薪企業有限公司,章碧霜小姐,02-22222300,02-22252030,,新北市中和區健康路103號,,,,A007005
A007007,真空-金珠6m,0,0.6,顆,A007,,0,,,,金色,,,150,,,一包135元0.5P裝,承薪企業有限公司,章碧霜小姐,02-22222300,02-22252030,,新北市中和區健康路103號,,,,A007007
A007008,6m圓珠透明五彩,0,0.6,顆,A007,,0,,,,,,,150,,,一包125元-225克,承薪企業有限公司,章碧霜小姐,02-22222301,02-22252031,,,,,,A007008
A007009,4m圓珠透明五彩,0,0.6,顆,A007,,0,,,,,,,150,,,一包140元-225克,承薪企業有限公司,章碧霜小姐,02-22222302,02-22252032,,,,,,A007009
A007010,4m粗角珠(橘黃色),0.15,0.6,顆,A007,0.09,0,,最少5000顆,,,,,150,,塑膠,,禾成鈕扣行,王小姐,06-2870618,02-2873636,,台南市安南區公學路6段353號,,,台灣中小企業銀行永康分行050，戶名:禾成鈕扣行，帳號:70012336991,A007010
A007011,14M方角珠透明染色,0,0.6,顆,A007,,0,,,,,,,150,,,BB91422一包80圓-225克,,,,,,,,,,A007011
A010001,無配件,0,0.6,無,A010,0,0,,,,,,,,,,,,,,,,,,,,A010001
A010002,客戶提供配件,0,0.6,無,A010,0,0,,,,,,,,,,,,,,,,,,,,A010002
A010003,1.5公分寬彎型插扣,3.166667,0.6,一組,A010,1.9,0,,一組,,黑色,"Y546-5/8""",,,14-30天,塑鋼,最低量1000,超意企業有限公司,周先生,04-25665483,04-25682530,,台中市大雅區神林南路111號,daya@super-i.net,,,A010003
A010004,透明防塵塞(玉米棒用),0.833333,0.6,一個,A010,0.5,0,,一個,,透明,,,,14-30天,,一包1萬個,大陸,shelly,2.86E+13,,,,,,,A010004
A010005,70*50*5mm泡棉,0.55,0.6,一片,A010,0.33,0,,70*50*5mm一片,,白色,P104白色泡棉,,,,,一次訂購量3萬片,敦太,,,,,,,,,A010005
A013001,不需要,0,0.6,無,A013,0,0,,,,,,,,,,,,,,,,,,,,A013001
A013002,客戶提供布標,0,0.6,無,A013,0,0,,,,,,,,,,,,,,,,,,,,A013002
A013003,6色緹花御守-長6.5cm*寬4.5cm,9.166667,0.6,片,A013,5.5,0,,,,6色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238620,02-22238631,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013003
A013004,日本客戶-6色緹花御守-長6cm*寬4cm,9.78,0.6,片,A013,5.868,0,,,,6色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238621,02-22238632,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013004
A013005,7色緹花御守-長6.5cm*寬4.5cm,10.83333,0.6,片,A013,6.5,0,,,,7色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238622,02-22238633,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013005
A013006,8色緹花御守-長6.5cm*寬4.5cm,12.5,0.6,片,A013,7.5,0,,,,8色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238623,02-22238634,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013006
A013007,6色緹花御守-長6.5cm*寬4cm,9.166667,0.6,片,A013,5.5,0,,,,6色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238624,02-22238635,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013007
A013008,7色緹花御守-長6.5cm*寬4cm,10.83333,0.6,片,A013,6.5,0,,,,7色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238625,02-22238636,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013008
A013009,8色緹花御守-長6.5cm*寬4cm,12.5,0.6,片,A013,7.5,0,,,,8色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238626,02-22238637,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013009
A013010,6色緹花御守-長4.5cm*寬3.5cm,8.333333,0.6,片,A013,5,0,,,,6色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238627,02-22238638,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013010
A013011,7色緹花御守-長4.5cm*寬3.5cm,10,0.6,片,A013,6,0,,,,7色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238628,02-22238639,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013011
A013012,8色緹花御守-長4.5cm*寬3.5cm,11.66667,0.6,片,A013,7,0,,,,8色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238629,02-22238640,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013012
A013013,6色緹花御守-長4cm*寬3cm,8.333333,0.6,片,A013,5,0,,,,6色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238630,02-22238641,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013013
A013014,7色緹花御守-長4cm*寬3cm,10,0.6,片,A013,6,0,,,,7色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238631,02-22238642,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013014
A013015,8色緹花御守-長4cm*寬3cm,11.66667,0.6,片,A013,7,0,,,,8色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238632,02-22238643,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013015
A013016,6色緹花御守-長8cm*寬5cm,11.66667,0.6,片,A013,7,0,,,,6色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238633,02-22238644,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013016
A013017,7色緹花御守-長8cm*寬5cm,12.5,0.6,片,A013,7.5,0,,,,7色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238634,02-22238645,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013017
A013018,8色緹花御守-長8cm*寬5cm,13.33333,0.6,片,A013,8,0,,,,8色,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238635,02-22238646,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013018
A013019,5*5緹花織標1200片,3.472167,0.6,片,A013,2.0833,0,,,,,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238636,02-22238647,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013019
A013020,5*5緹花織標2000片,2.5,0.6,片,A013,1.5,0,,,,,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238637,02-22238648,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013020
A013021,5*5緹花織標3000片,1.9445,0.6,片,A013,1.1667,0,,,,,,,,,尼龍,電腦生產專織、花帶、成衣商標,華中商標織造有限公司,吳先生,02-22238638,02-22238649,9.35E+08,新北市中和區員山路534號,Wu@hwajong.com.tw,,,A013021
A013022,10*2.5公分充皮布標1200片,3.333333,0.6,片,A013,2,0,,,,1色,,,,,,印刷布標、織造商標、吊牌設計印刷、珠鍊、人造皮標、真皮皮標、吊牌繩、各式商標配件,與浥企業(有),葉清海,02-2253-0307,0918-862418,,新北市板橋區縣民大道三段103巷25號3樓,labelman212@gmail.com,,,A013022
A013023,10*2.5公分棉混1200片,6.166667,0.6,片,A013,3.7,0,,,,1色,,,,,,印刷布標、織造商標、吊牌設計印刷、珠鍊、人造皮標、真皮皮標、吊牌繩、各式商標配件,與浥企業(有),葉清海,02-2253-0308,0918-862419,,新北市板橋區縣民大道三段103巷25號3樓,labelman212@gmail.com,,,A013023
A014001,不需要,0,0.6,無,A014,0,0,,,,,,,,,,,,,,,,,,,,A014001
A014002,客戶提供,0,0.6,無,A014,0,0,,,,,,,,,,,,,,,,,,,,A014002
A014003,大紙箱(長61寬44高42),50,0.6,個,A014,30,0,,,,棕黃色,,,,,紙,,日星,,,,,,,,,A014003
A014004,小紙箱(長61寬33高41),0,0.6,個,A014,0,0,,,,棕黃色,,,,,紙,,日星,,,,,,,,,A014004
A014005,大白盒(長30寬21高10),16.66667,0.6,個,A014,10,0,,,,白色,,,,,紙,,普林,吳先生,02-2226-9973,02-2226-9040,0933-035-096,台北縣中和市中山路三段120之10號5樓,wst@pulin.com.tw,,,A014005
A014006,小白盒(長30寬16高10),0,0.6,個,A014,0,0,,,,白色,,,,,紙,,普林,吳先生,02-2226-9974,02-2226-9041,0933-035-097,台北縣中和市中山路三段120之10號5樓,wst@pulin.com.tw,,,A014006
A014007,3.5*5白紙卡,0,0.6,片,A014,0,0,,,,白色,,,,,紙,,普林,吳先生,02-2226-9975,02-2226-9042,0933-035-098,台北縣中和市中山路三段120之10號5樓,wst@pulin.com.tw,,,A014007
A014008,4*6.3白紙卡,0,0.6,片,A014,0,0,,,,白色,,,,,紙,,普林,吳先生,02-2226-9976,02-2226-9043,0933-035-099,台北縣中和市中山路三段120之10號5樓,wst@pulin.com.tw,,,A014008
A014009,3*3.3白紙卡,0,0.6,片,A014,0,0,,,,白色,,,,,紙,,普林,吳先生,02-2226-9977,02-2226-9044,0933-035-100,台北縣中和市中山路三段120之10號5樓,wst@pulin.com.tw,,,A014009
A014010,2.5*3.3白紙卡,0,0.6,片,A014,0,0,,,,白色,,,,,紙,,普林,吳先生,02-2226-9978,02-2226-9045,0933-035-101,台北縣中和市中山路三段120之10號5樓,wst@pulin.com.tw,,,A014010
A015001,不需要,0,0.6,無,A015,0,0,,,,,,,,,,,,,,,,,,,,A015001
A015002,客戶提供配件,0,0.6,無,A015,0,0,,,,,,,,,,,,,,,,,,,,A015002
A015003,薰衣草,1333.333,0.6,1克,A015,800,0,,,,紫色,,,,,,1公斤800元，約可包3500包,湖廣藥材有限公司,陳育龍,02-25560870,02-25554589,,台北市迪化街一段74號,,,貨到付款,A015003
A015004,粗鹽,83.33333,0.6,1克,A015,50,0,,,,白色,,,,,,1斤50元,米行,,,,,,,,,A015004
A015005,檀香木棒1根,1.666667,0.6,1根,A015,1,0,,,,木頭色,no:w056老山檀香瓣,,,,,,施美玉名香,,,,,,,,,A015005
A015006,1包薰衣草,0.666667,0.6,op004裝1包0.0004克,A015,0.4,0,,盒裝御守用,,紫色,薰衣草0.3+opp袋0.1=0.4元,,,,,1公斤800元，約可包3500包,湖廣藥材有限公司,陳育龍,02-25560870,02-25554589,,台北市迪化街一段74號,,,貨到付款,A015006
A015007,1包粗鹽,0.333333,0.6,op004裝1包0.0011克,A015,0.2,0,,盒裝御守用,,白色,粗鹽0.1+opp袋0.1=0.2元,,,,,1斤50元,米行,,,,,,,,,A015007
A016001,無配件,0,0.6,無,A016,0,0,,,,,,,,,,,,,,,,,,,,A016001
A016002,客戶提供配件,0,0.6,無,A016,0,0,,,,,,,,,,,,,,,,,,,,A016002
A016003,水晶石頭-橄欖石碎石,0.333333,0.6,克,A016,0.2,0,,一公斤200,,綠色,,,,,,,水晶超市,,,,,,,,,A016003
A016004,水晶石頭-粉水晶碎石,0.2,0.6,克,A016,0.12,0,,一公斤120,,粉色,,,,,,,水晶超市,,,,,,,,,A016004
A016005,水晶石頭-黃水晶碎石,0.333333,0.6,克,A016,0.2,0,,一公斤200,,黃色,,,,,,,水晶超市,,,,,,,,,A016005
A016006,水晶石頭-白水晶碎石,0.2,0.6,克,A016,0.12,0,,一公斤120,,白色,,,,,,,水晶超市,,,,,,,,,A016006
A016007,水晶石頭-紫水晶碎石,0.2,0.6,克,A016,0.12,0,,一公斤120,,紫色,,,,,,,水晶超市,,,,,,,,,A016007
A016008,水晶石頭-紅瑪瑙碎石,0.133333,0.6,克,A016,0.08,0,,一公斤80,,多色混,,,344,4-5個工作天,,,掏寶,,,,,,,,,A016008
A018001,無配件,0,0.6,無,A018,0,0,,,,,,,,,,,,,,,,,,,,A018001
A018002,客戶提供配件,0,0.6,無,A018,0,0,,,,,,,,,,,,,,,,,,,,A018002
A018003,短井字結-20公分綁好後尺寸約12-13公分,2.666667,0.6,條,A018,1.60,0,,綁好後尺寸約12-13公分,,多色,,20公分,,約30-45天,尼龍,一次5000條,大陸,shelly,2.86E+13,,,,,,,A018003
A018004,長井字結-37公分綁好後尺寸約30-31公分,3.166667,0.6,條,A018,1.90,0,,綁好後尺寸約30-31公分,,多色,,37公分,,約30-45天,尼龍,一次5000條,大陸,shelly,2.86E+13,,,,,,,A018004
A019001,不需要,0,1,無,A019,0,0,,,,,,,,,,,,,,,,,,,,
A019002,客戶提供OPP袋,0,1,無,A019,0,0,,,,,,,,,,,,,,,,,,,,
A019003,OP001-5.5*8公分,0.15,1,1個,A019,0.15,0.1,,5.5*8*12cm適合裝御守類商品,,,5.5*8*12cm,,,7-14天,塑膠,,田一塑膠工業股份有限公司,陳佳樑先生,02-2901-8335,02-29066283,,新北市新莊區新樹路69-60號1樓,,,月結,
A019005,OP003-11*12.5公分,0.36,1,1個,A019,0.36,0,,髮圈，小零錢包,,,11.5*12.5*15.5cm,,,7-14天,塑膠,,嘉翔發企業有限公司,楊小姐,02-22655885*31,02-22739393,,新北市土城區永豐路195巷27弄15號,,,,
A019006,OP004-4*4公分,0.1,1,1個,A019,0.1,0,,薰衣草，粗鹽等,,,4*4*6cm,,,7-14天,塑膠,,田一塑膠工業股份有限公司,陳佳樑先生,02-2901-8335,02-29066283,,新北市新莊區新樹路69-60號1樓,,,,
A019007,OP005-6.5*12.5公分(有洞),0.33,1,1個,A019,0.33,0.15,,,,,6.5*12.5*15.5cm,,,7-14天,塑膠,,嘉翔發企業有限公司,楊小姐,02-22655885*31,02-22739393,,新北市土城區永豐路195巷27弄15號,,,,
A019008,OP006-7.5*14.7公分(有洞福字),0.33,1,1個,A019,0.33,0.15,,,,,6.5*12.5*15.5cm,,,7-14天,塑膠,,嘉翔發企業有限公司,楊小姐,02-22655885*31,02-22739393,,新北市土城區永豐路195巷27弄15號,,,,
A019009,OP007-有洞-6*16.5公分,0.33,1,1個,A019,0.33,0.15,,,,,6*16.5*19.5cm,,,7-14天,塑膠,,嘉翔發企業有限公司,楊小姐,02-22655885*33,02-22739395,,新北市土城區永豐路195巷27弄15號,,,,
A019010,OP008-6*16.5公分,0.33,1,1個,A019,0.33,0,,,,,6*16.5*19.5cm,,,7-14天,塑膠,,嘉翔發企業有限公司,楊小姐,02-22655885*34,02-22739396,,新北市土城區永豐路195巷27弄15號,,,,
